Disaster: Fire | Severity: High | SMOKE:167.9, VIBRATION:8.81
Disaster: Fire | Severity: High | SMOKE:101.48, VIBRATION:9.4
Disaster: Fire | Severity: Low | SMOKE:14.6, VIBRATION:0.5
Disaster: Fire | Severity: High | SMOKE:125.19, VIBRATION:5.49
Disaster: Fire | Severity: High | SMOKE:185.14, VIBRATION:0.38
Disaster: Fire | Severity: High | SMOKE:90.26, VIBRATION:5.35
Disaster: Fire | Severity: High | SMOKE:8.93, VIBRATION:8.58
Disaster: Fire | Severity: High | SMOKE:201.02, VIBRATION:0.37
Disaster: Fire | Severity: High | SMOKE:154.45, VIBRATION:5.07
Disaster: Fire | Severity: High | SMOKE:105.0, VIBRATION:9.67
Disaster: Fire | Severity: Low | SMOKE:18.0, VIBRATION:0.6
Disaster: Fire | Severity: High | SMOKE:129.91, VIBRATION:5.68
Disaster: Fire | Severity: High | SMOKE:185.02, VIBRATION:0.47
Disaster: Fire | Severity: High | SMOKE:94.36, VIBRATION:5.39
Disaster: Fire | Severity: High | SMOKE:12.86, VIBRATION:8.71
Disaster: Fire | Severity: High | SMOKE:198.05, VIBRATION:0.5
Disaster: Fire | Severity: High | SMOKE:153.22, VIBRATION:4.95
Disaster: Fire | Severity: High | SMOKE:109.75, VIBRATION:9.9
Disaster: Fire | Severity: Low | SMOKE:13.34, VIBRATION:0.77
Disaster: Fire | Severity: High | SMOKE:128.69, VIBRATION:5.63
Disaster: Fire | Severity: High | SMOKE:188.53, VIBRATION:0.21
Disaster: Fire | Severity: High | SMOKE:96.33, VIBRATION:5.56
Disaster: Fire | Severity: High | SMOKE:12.3, VIBRATION:8.62
Disaster: Fire | Severity: High | SMOKE:196.76, VIBRATION:0.59
Disaster: Fire | Severity: High | SMOKE:157.13, VIBRATION:5.17
Disaster: Fire | Severity: High | SMOKE:110.9, VIBRATION:10
Disaster: Fire | Severity: Low | SMOKE:8.55, VIBRATION:0.75
Disaster: Fire | Severity: High | SMOKE:129.38, VIBRATION:5.45
Disaster: Fire | Severity: High | SMOKE:188.78, VIBRATION:0.43
Disaster: Fire | Severity: High | SMOKE:98.79, VIBRATION:5.44
Disaster: Fire | Severity: High | SMOKE:12.46, VIBRATION:8.46
Disaster: Fire | Severity: High | SMOKE:195.67, VIBRATION:0.74
Disaster: Fire | Severity: High | SMOKE:158.69, VIBRATION:4.92
Disaster: Fire | Severity: High | SMOKE:114.85, VIBRATION:9.88
Disaster: Fire | Severity: Low | SMOKE:7.91, VIBRATION:0.5
Disaster: Fire | Severity: High | SMOKE:124.87, VIBRATION:5.59
Disaster: Fire | Severity: High | SMOKE:191.71, VIBRATION:0.24
Disaster: Fire | Severity: High | SMOKE:101.45, VIBRATION:5.68
Disaster: Fire | Severity: High | SMOKE:13.73, VIBRATION:8.58
Disaster: Fire | Severity: High | SMOKE:196.47, VIBRATION:0.59
Disaster: Fire | Severity: High | SMOKE:159.54, VIBRATION:4.7
Disaster: Fire | Severity: High | SMOKE:118.69, VIBRATION:9.7
Disaster: Fire | Severity: Low | SMOKE:5.91, VIBRATION:0.63
Disaster: Fire | Severity: High | SMOKE:121.59, VIBRATION:5.75
Disaster: Fire | Severity: High | SMOKE:191.17, VIBRATION:0.06
Disaster: Fire | Severity: High | SMOKE:104.89, VIBRATION:5.65
Disaster: Fire | Severity: High | SMOKE:9.01, VIBRATION:8.62
Disaster: Fire | Severity: High | SMOKE:193.73, VIBRATION:0.38
Disaster: Fire | Severity: High | SMOKE:161.23, VIBRATION:4.51
Disaster: Fire | Severity: High | SMOKE:117.28, VIBRATION:9.76
Disaster: Fire | Severity: Low | SMOKE:4.03, VIBRATION:0.79
Disaster: Fire | Severity: High | SMOKE:121.31, VIBRATION:6.05
Disaster: Fire | Severity: High | SMOKE:189.96, VIBRATION:0.21
Disaster: Fire | Severity: High | SMOKE:109.79, VIBRATION:5.81
Disaster: Fire | Severity: High | SMOKE:11.82, VIBRATION:8.46
Disaster: Fire | Severity: High | SMOKE:195.46, VIBRATION:0.44
Disaster: Fire | Severity: High | SMOKE:159.68, VIBRATION:4.42
Disaster: Fire | Severity: High | SMOKE:119.21, VIBRATION:9.58
Disaster: Fire | Severity: Low | SMOKE:1.64, VIBRATION:0.58
Disaster: Fire | Severity: High | SMOKE:123.69, VIBRATION:6.32
Disaster: Fire | Severity: High | SMOKE:192.46, VIBRATION:0.19
Disaster: Fire | Severity: High | SMOKE:112.34, VIBRATION:6.03
Disaster: Fire | Severity: High | SMOKE:9.22, VIBRATION:8.52
Disaster: Fire | Severity: High | SMOKE:193.17, VIBRATION:0.17
Disaster: Fire | Severity: High | SMOKE:162.61, VIBRATION:4.2
Disaster: Fire | Severity: High | SMOKE:119.97, VIBRATION:9.48
Disaster: Fire | Severity: Low | SMOKE:0, VIBRATION:0.41
Disaster: Fire | Severity: High | SMOKE:127.05, VIBRATION:6.04
Disaster: Fire | Severity: High | SMOKE:193.46, VIBRATION:0.01
Disaster: Fire | Severity: High | SMOKE:109.02, VIBRATION:6.03
Disaster: Fire | Severity: High | SMOKE:4.91, VIBRATION:8.51
Disaster: Fire | Severity: High | SMOKE:194.36, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:159.59, VIBRATION:3.98
Disaster: Fire | Severity: High | SMOKE:123.52, VIBRATION:9.36
Disaster: Fire | Severity: Low | SMOKE:4.35, VIBRATION:0.15
Disaster: Fire | Severity: High | SMOKE:129.25, VIBRATION:6.13
Disaster: Fire | Severity: High | SMOKE:189.74, VIBRATION:0.24
Disaster: Fire | Severity: High | SMOKE:107.76, VIBRATION:6.1
Disaster: Fire | Severity: High | SMOKE:1.07, VIBRATION:8.6
Disaster: Fire | Severity: High | SMOKE:190.42, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:163.34, VIBRATION:3.79
Disaster: Fire | Severity: High | SMOKE:122.66, VIBRATION:9.12
Disaster: Fire | Severity: Low | SMOKE:5.43, VIBRATION:0.03
Disaster: Fire | Severity: High | SMOKE:131.9, VIBRATION:6.24
Disaster: Fire | Severity: High | SMOKE:194.14, VIBRATION:0.28
Disaster: Fire | Severity: High | SMOKE:110.48, VIBRATION:6.31
Disaster: Fire | Severity: High | SMOKE:1.07, VIBRATION:8.53
Disaster: Fire | Severity: High | SMOKE:191.33, VIBRATION:0.02
Disaster: Fire | Severity: High | SMOKE:164.42, VIBRATION:4.07
Disaster: Fire | Severity: High | SMOKE:121.73, VIBRATION:8.84
Disaster: Fire | Severity: Low | SMOKE:7.69, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:130.52, VIBRATION:6.07
Disaster: Fire | Severity: High | SMOKE:192.26, VIBRATION:0.12
Disaster: Fire | Severity: High | SMOKE:112.33, VIBRATION:6.22
Disaster: Fire | Severity: High | SMOKE:4.05, VIBRATION:8.25
Disaster: Fire | Severity: High | SMOKE:191.78, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:160.0, VIBRATION:4.25
Disaster: Fire | Severity: High | SMOKE:121.63, VIBRATION:8.88
Disaster: Fire | Severity: Low | SMOKE:11.13, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:131.88, VIBRATION:6.37
Disaster: Fire | Severity: High | SMOKE:192.87, VIBRATION:0.2
Disaster: Fire | Severity: High | SMOKE:115.71, VIBRATION:6.14
Disaster: Fire | Severity: High | SMOKE:0, VIBRATION:8.18
Disaster: Fire | Severity: High | SMOKE:188.5, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:162.62, VIBRATION:4.48
Disaster: Fire | Severity: High | SMOKE:118.74, VIBRATION:9.07
Disaster: Fire | Severity: Low | SMOKE:9.16, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:134.46, VIBRATION:6.15
Disaster: Fire | Severity: High | SMOKE:191.3, VIBRATION:0.41
Disaster: Fire | Severity: High | SMOKE:119.28, VIBRATION:6.4
Disaster: Fire | Severity: High | SMOKE:4.14, VIBRATION:8.19
Disaster: Fire | Severity: High | SMOKE:190.47, VIBRATION:0.05
Disaster: Fire | Severity: High | SMOKE:165.7, VIBRATION:4.49
Disaster: Fire | Severity: High | SMOKE:123.73, VIBRATION:9.23
Disaster: Fire | Severity: Low | SMOKE:5.22, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:132.45, VIBRATION:6.02
Disaster: Fire | Severity: High | SMOKE:187.34, VIBRATION:0.48
Disaster: Fire | Severity: High | SMOKE:115.79, VIBRATION:6.35
Disaster: Fire | Severity: High | SMOKE:8.21, VIBRATION:8.21
Disaster: Fire | Severity: High | SMOKE:192.62, VIBRATION:0
Disaster: Fire | Severity: High | SMOKE:167.89, VIBRATION:4.69
Disaster: Fire | Severity: High | SMOKE:126.42, VIBRATION:9.06
Disaster: Fire | Severity: Low | SMOKE:4.17, VIBRATION:0.09
Disaster: Fire | Severity: High | SMOKE:137.15, VIBRATION:6.28
Disaster: Fire | Severity: High | SMOKE:184.82, VIBRATION:0.26
Disaster: Fire | Severity: High | SMOKE:294.08, VIBRATION:3.93
Disaster: Fire | Severity: High | SMOKE:291.83, VIBRATION:3.9
Disaster: Fire | Severity: High | SMOKE:145.6, VIBRATION:9.49
Disaster: Fire | Severity: High | SMOKE:295.58, VIBRATION:3.86
Disaster: Fire | Severity: High | SMOKE:146.3, VIBRATION:9.77
Disaster: Fire | Severity: High | SMOKE:146.85, VIBRATION:9.1
Disaster: Fire | Severity: High | SMOKE:298.36, VIBRATION:4.08
Disaster: Fire | Severity: High | SMOKE:145.97, VIBRATION:9.71
Disaster: Fire | Severity: High | SMOKE:151.52, VIBRATION:9.39
Disaster: Fire | Severity: Medium | SMOKE:71.29, VIBRATION:2.98
Disaster: Fire | Severity: High | SMOKE:296.54, VIBRATION:3.87
Disaster: Fire | Severity: High | SMOKE:148.07, VIBRATION:9.46
Disaster: Fire | Severity: High | SMOKE:152.21, VIBRATION:9.26
Disaster: Fire | Severity: Medium | SMOKE:73.85, VIBRATION:2.88
Disaster: Fire | Severity: High | SMOKE:124.87, VIBRATION:9.52
Disaster: Fire | Severity: High | SMOKE:298.05, VIBRATION:3.86
Disaster: Fire | Severity: High | SMOKE:146.52, VIBRATION:9.31
Disaster: Fire | Severity: High | SMOKE:150.74, VIBRATION:9.4
Disaster: Fire | Severity: Medium | SMOKE:68.85, VIBRATION:2.99
Disaster: Fire | Severity: High | SMOKE:126.87, VIBRATION:9.43
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.97
Disaster: Fire | Severity: High | SMOKE:216.76, VIBRATION:9.3
Disaster: Fire | Severity: High | SMOKE:150.87, VIBRATION:9.54
Disaster: Fire | Severity: High | SMOKE:213.16, VIBRATION:9.22
Disaster: Fire | Severity: High | SMOKE:148.1, VIBRATION:9.66
Disaster: Fire | Severity: High | SMOKE:131.73, VIBRATION:9.69
Disaster: Fire | Severity: High | SMOKE:148.41, VIBRATION:9.26
Disaster: Fire | Severity: Medium | SMOKE:67.45, VIBRATION:2.81
Disaster: Fire | Severity: High | SMOKE:296.0, VIBRATION:3.81
Disaster: Fire | Severity: High | SMOKE:209.05, VIBRATION:8.93
Disaster: Fire | Severity: High | SMOKE:151.74, VIBRATION:9.75
Disaster: Fire | Severity: High | SMOKE:136.4, VIBRATION:9.44
Disaster: Fire | Severity: High | SMOKE:150.63, VIBRATION:9.22
Disaster: Fire | Severity: Medium | SMOKE:64.58, VIBRATION:2.58
Disaster: Fire | Severity: High | SMOKE:296.59, VIBRATION:3.62
Disaster: Fire | Severity: High | SMOKE:210.48, VIBRATION:8.78
Disaster: Fire | Severity: High | SMOKE:156.56, VIBRATION:9.84
Disaster: Fire | Severity: High | SMOKE:132.46, VIBRATION:9.36
Disaster: Fire | Severity: High | SMOKE:152.44, VIBRATION:9.49
Disaster: Fire | Severity: Medium | SMOKE:60.9, VIBRATION:2.54
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.84
Disaster: Fire | Severity: High | SMOKE:208.93, VIBRATION:8.51
Disaster: Fire | Severity: High | SMOKE:157.92, VIBRATION:9.68
Disaster: Fire | Severity: High | SMOKE:132.97, VIBRATION:9.31
Disaster: Fire | Severity: High | SMOKE:157.08, VIBRATION:9.78
Disaster: Fire | Severity: Medium | SMOKE:58.14, VIBRATION:2.79
Disaster: Fire | Severity: High | SMOKE:298.93, VIBRATION:3.65
Disaster: Fire | Severity: High | SMOKE:204.86, VIBRATION:8.27
Disaster: Fire | Severity: High | SMOKE:162.06, VIBRATION:9.44
Disaster: Fire | Severity: High | SMOKE:129.19, VIBRATION:9.27
Disaster: Fire | Severity: High | SMOKE:155.34, VIBRATION:9.8
Disaster: Fire | Severity: Medium | SMOKE:58.94, VIBRATION:2.94
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.37
Disaster: Fire | Severity: High | SMOKE:206.88, VIBRATION:8.2
Disaster: Fire | Severity: High | SMOKE:159.24, VIBRATION:9.49
Disaster: Fire | Severity: High | SMOKE:127.86, VIBRATION:9.36
Disaster: Fire | Severity: High | SMOKE:159.87, VIBRATION:9.97
Disaster: Fire | Severity: Medium | SMOKE:62.66, VIBRATION:2.99
Disaster: Fire | Severity: High | SMOKE:295.59, VIBRATION:3.67
Disaster: Fire | Severity: High | SMOKE:210.03, VIBRATION:8.46
Disaster: Fire | Severity: High | SMOKE:160.86, VIBRATION:9.68
Disaster: Fire | Severity: High | SMOKE:123.35, VIBRATION:9.64
Disaster: Fire | Severity: High | SMOKE:156.66, VIBRATION:10
Disaster: Fire | Severity: Medium | SMOKE:64.96, VIBRATION:2.78
Disaster: Fire | Severity: High | SMOKE:298.24, VIBRATION:3.54
Disaster: Fire | Severity: High | SMOKE:208.18, VIBRATION:8.74
Disaster: Fire | Severity: High | SMOKE:163.53, VIBRATION:9.51
Disaster: Fire | Severity: High | SMOKE:128.25, VIBRATION:9.47
Disaster: Fire | Severity: High | SMOKE:157.61, VIBRATION:9.78
Disaster: Fire | Severity: Medium | SMOKE:64.77, VIBRATION:2.85
Disaster: Fire | Severity: High | SMOKE:295.04, VIBRATION:3.61
Disaster: Fire | Severity: High | SMOKE:203.64, VIBRATION:9.04
Disaster: Fire | Severity: High | SMOKE:164.03, VIBRATION:9.78
Disaster: Fire | Severity: High | SMOKE:125.93, VIBRATION:9.41
Disaster: Fire | Severity: High | SMOKE:161.58, VIBRATION:9.92
Disaster: Fire | Severity: Medium | SMOKE:59.97, VIBRATION:2.79
Disaster: Fire | Severity: High | SMOKE:298.43, VIBRATION:3.78
Disaster: Fire | Severity: High | SMOKE:205.09, VIBRATION:9.0
Disaster: Fire | Severity: High | SMOKE:167.96, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:130.03, VIBRATION:9.27
Disaster: Fire | Severity: High | SMOKE:162.26, VIBRATION:9.83
Disaster: Fire | Severity: Medium | SMOKE:61.32, VIBRATION:2.51
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.59
Disaster: Fire | Severity: High | SMOKE:209.55, VIBRATION:9.06
Disaster: Fire | Severity: High | SMOKE:169.63, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:126.07, VIBRATION:9.28
Disaster: Fire | Severity: High | SMOKE:158.45, VIBRATION:9.95
Disaster: Fire | Severity: Medium | SMOKE:60.44, VIBRATION:2.65
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.33
Disaster: Fire | Severity: High | SMOKE:210.99, VIBRATION:9.36
Disaster: Fire | Severity: High | SMOKE:169.2, VIBRATION:9.91
Disaster: Fire | Severity: High | SMOKE:122.76, VIBRATION:9.39
Disaster: Fire | Severity: High | SMOKE:155.78, VIBRATION:10
Disaster: Fire | Severity: Medium | SMOKE:58.69, VIBRATION:2.59
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.2
Disaster: Fire | Severity: High | SMOKE:214.3, VIBRATION:9.21
Disaster: Fire | Severity: High | SMOKE:172.77, VIBRATION:9.76
Disaster: Fire | Severity: High | SMOKE:126.74, VIBRATION:9.69
Disaster: Fire | Severity: High | SMOKE:155.58, VIBRATION:10
Disaster: Fire | Severity: Medium | SMOKE:59.6, VIBRATION:2.35
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:3.01
Disaster: Fire | Severity: High | SMOKE:216.92, VIBRATION:9.05
Disaster: Fire | Severity: High | SMOKE:171.2, VIBRATION:9.87
Disaster: Fire | Severity: High | SMOKE:126.22, VIBRATION:9.79
Disaster: Fire | Severity: High | SMOKE:160.11, VIBRATION:9.98
Disaster: Fire | Severity: Medium | SMOKE:59.37, VIBRATION:2.52
Disaster: Fire | Severity: High | SMOKE:298.05, VIBRATION:2.91
Disaster: Fire | Severity: High | SMOKE:212.9, VIBRATION:8.79
Disaster: Fire | Severity: High | SMOKE:168.02, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:123.81, VIBRATION:10.0
Disaster: Fire | Severity: High | SMOKE:164.41, VIBRATION:9.75
Disaster: Fire | Severity: Medium | SMOKE:61.47, VIBRATION:2.51
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:2.83
Disaster: Fire | Severity: High | SMOKE:214.2, VIBRATION:8.75
Disaster: Fire | Severity: High | SMOKE:169.4, VIBRATION:9.74
Disaster: Fire | Severity: High | SMOKE:126.1, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:167.21, VIBRATION:9.53
Disaster: Fire | Severity: Medium | SMOKE:56.72, VIBRATION:2.28
Disaster: Fire | Severity: High | SMOKE:298.27, VIBRATION:2.61
Disaster: Fire | Severity: High | SMOKE:209.37, VIBRATION:8.64
Disaster: Fire | Severity: High | SMOKE:164.59, VIBRATION:9.58
Disaster: Fire | Severity: High | SMOKE:123.44, VIBRATION:9.74
Disaster: Fire | Severity: High | SMOKE:164.23, VIBRATION:9.39
Disaster: Fire | Severity: Medium | SMOKE:58.16, VIBRATION:2.05
Disaster: Fire | Severity: High | SMOKE:294.15, VIBRATION:2.63
Disaster: Fire | Severity: High | SMOKE:210.1, VIBRATION:8.74
Disaster: Fire | Severity: High | SMOKE:166.77, VIBRATION:9.76
Disaster: Fire | Severity: High | SMOKE:125.43, VIBRATION:9.93
Disaster: Fire | Severity: High | SMOKE:160.08, VIBRATION:9.09
Disaster: Fire | Severity: Medium | SMOKE:54.27, VIBRATION:2.33
Disaster: Fire | Severity: High | SMOKE:290.06, VIBRATION:2.61
Disaster: Fire | Severity: High | SMOKE:207.8, VIBRATION:9.01
Disaster: Fire | Severity: High | SMOKE:164.18, VIBRATION:9.97
Disaster: Fire | Severity: High | SMOKE:128.13, VIBRATION:9.9
Disaster: Fire | Severity: High | SMOKE:160.47, VIBRATION:9.09
Disaster: Fire | Severity: Medium | SMOKE:53.73, VIBRATION:2.35
Disaster: Fire | Severity: High | SMOKE:290.19, VIBRATION:2.58
Disaster: Fire | Severity: High | SMOKE:211.88, VIBRATION:9.03
Disaster: Fire | Severity: High | SMOKE:163.41, VIBRATION:9.97
Disaster: Fire | Severity: High | SMOKE:133.06, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:161.94, VIBRATION:9.06
Disaster: Fire | Severity: Medium | SMOKE:50.66, VIBRATION:2.61
Disaster: Fire | Severity: High | SMOKE:293.61, VIBRATION:2.73
Disaster: Fire | Severity: High | SMOKE:208.54, VIBRATION:9.1
Disaster: Fire | Severity: High | SMOKE:165.15, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:137.07, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:163.53, VIBRATION:9.31
Disaster: Fire | Severity: Medium | SMOKE:47.87, VIBRATION:2.71
Disaster: Fire | Severity: High | SMOKE:297.27, VIBRATION:2.43
Disaster: Fire | Severity: High | SMOKE:211.4, VIBRATION:9.38
Disaster: Fire | Severity: High | SMOKE:164.94, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:134.14, VIBRATION:9.82
Disaster: Fire | Severity: High | SMOKE:159.43, VIBRATION:9.02
Disaster: Fire | Severity: Medium | SMOKE:50.09, VIBRATION:2.98
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:2.2
Disaster: Fire | Severity: High | SMOKE:208.79, VIBRATION:9.56
Disaster: Fire | Severity: High | SMOKE:161.62, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:134.8, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:158.87, VIBRATION:8.75
Disaster: Fire | Severity: Medium | SMOKE:48.17, VIBRATION:3.1
Disaster: Fire | Severity: High | SMOKE:296.5, VIBRATION:2.36
Disaster: Fire | Severity: High | SMOKE:208.52, VIBRATION:9.46
Disaster: Fire | Severity: High | SMOKE:165.16, VIBRATION:9.82
Disaster: Fire | Severity: High | SMOKE:136.8, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:162.05, VIBRATION:8.47
Disaster: Fire | Severity: Medium | SMOKE:46.55, VIBRATION:2.91
Disaster: Fire | Severity: High | SMOKE:295.45, VIBRATION:2.49
Disaster: Fire | Severity: High | SMOKE:210.94, VIBRATION:9.49
Disaster: Fire | Severity: High | SMOKE:162.54, VIBRATION:9.68
Disaster: Fire | Severity: High | SMOKE:140.9, VIBRATION:9.99
Disaster: Fire | Severity: High | SMOKE:160.77, VIBRATION:8.7
Disaster: Fire | Severity: Medium | SMOKE:45.46, VIBRATION:2.87
Disaster: Fire | Severity: High | SMOKE:298.51, VIBRATION:2.74
Disaster: Fire | Severity: High | SMOKE:206.91, VIBRATION:9.31
Disaster: Fire | Severity: High | SMOKE:161.1, VIBRATION:9.81
Disaster: Fire | Severity: High | SMOKE:140.14, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:163.79, VIBRATION:8.74
Disaster: Fire | Severity: Medium | SMOKE:40.85, VIBRATION:2.8
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:2.85
Disaster: Fire | Severity: High | SMOKE:211.2, VIBRATION:9.2
Disaster: Fire | Severity: High | SMOKE:162.56, VIBRATION:9.91
Disaster: Fire | Severity: High | SMOKE:143.86, VIBRATION:10
Disaster: Fire | Severity: High | SMOKE:160.53, VIBRATION:8.68
Disaster: Fire | Severity: Medium | SMOKE:44.16, VIBRATION:2.73
Disaster: Fire | Severity: High | SMOKE:300, VIBRATION:2.78
Disaster: Fire | Severity: High | SMOKE:207.83, VIBRATION:9.38
Disaster: Fire | Severity: High | SMOKE:163.22, VIBRATION:10
